repository_owner,repository_name
dotta,scala
dowobeha,ducttape.frontend
doxxx,markdown-to-bbcode
dparoulek,swagger-core
dph01,scala-sbt-template
dpp,CometException
dpp,Exploring-Lift-ajax-example
dpp,ajaxInvoke
dpp,hoisted
dpp,lift-samples
dpp,liftweb
dpp,menuparam
dpp,myrest
dpp,starting_point
dragade,DonorMatch
dragos,scala
dragos,scala-ide
dramage,Scalala-DDG
drashid,Scala-XMPP-Bot
drdozer,graphviz-s
drevlyanin,find-foreigners
drewhjava,Play2.tmbundle
drexin,akka
dsmithos,ParseCSV
dsyer,pocketchangeapp-prop
dubinsky,podval-judaica
duesenklipper,wicketscala
dukeboard,kevoree
dukeboard,kevoree-modeling-framework
dunjiii,ScalaTraining
dunnololda,kohelma
dunnololda,sbt_hello
dunnololda,scage
dunnololda,scage-projects
dvc94ch,sbt-scct
dvigal,immutable-b-tree
dvreeze,yaidom
dvreeze,yaidom-xs
dwhitney,akka
dwins,geoscript.scala
dwins,logic
dwins,mapnik2geotools
dwins,scalatron-template
dylemma,JavaAnalyzer
dylemma,scala.react
dyross,Play20
dyross,akka
dyross,play-statsd
e-yamane,RDF2-cache
e-yamane,RDF2-service-locator
e-yamane,RDF2dev-Core
eZanmoto,Scala-Library
eamelink,play2-swagger
ebc,Dojo
ebowman,scoopshot
ebowman,wordpath
echen,rosetta-scone
echen,sarah-palin-lda
echen,scalding
echen,scaldingale
echuta86,play_by_example
echuta86,scala_by_example
ecopony,scala-gameday-api
edeustace,Play20
edeustace,mxmlcleaner
edeustace,play-template-object-passing
edgars,easyscala
edisontung,spark
edoardovencia,playtest
edpe,hello_scala
eed3si9n,sbt-appengine
eed3si9n,sbt-inspectr
eed3si9n,scalaxb
eed3si9n,scalaxb-heroku
eed3si9n,scalaxb-sample
eed3si9n,scalaxb.g8
eed3si9n,sff4s
eed3si9n,treehugger
eed3si9n,xsbt
eed3si9n,xsbt-gpg-plugin
efleming969,routely
efleming969,sbt-appengine
efleming969,sbt-growl-plugin
efleming969,sudogs-site
efuquen,abell
efuquen,squartz
egervari,scaladbtest
egosum,ScalaRIL
egosum,scala-sbt-template
eirikb,cloudml-engine
eje211,Vera-Stark
ekarlsso,Botball-Simulator
ekayvaz,scala_dojo
electrotek,projecteuler
elehack,sbt-idea
element-doo,lift-shiro
elimisteve,gizzard
ellchow,csc
ellchow,scalding
elliottd,qgdmv
eltimn,lift-mongo-protouser
eltimn,lift-mongo.g8
eltimn,lift-mongoauth
eltimn,sbt-closure
emcastro,sbt-sample
emomoh,mail-plugin
ennru,Simple-Scala-Project
enrich,knockoff
enrich,scouchdb
epabst,scala-android-crud
epabst,triangle
ephox,argonaut
epishkin,heroku-sample
epishkin,scalatest
epishkin,slashem
eponvert,Play20
eponvert,herokuscalahello
eponvert,multiword
eponvert,multiword.corpus
ericdalgliesh,scala99
erikrozendaal,scala-event-sourcing-example
eropple,velvetrope
eskatos,Play20
espringe,scoobi
esurharun,DVBRecR2
esusatyo,s99
etaoins,Llispy
etaoins,choonweb
ethul,alouer-worker
etorreborre,ScaHAL
etorreborre,protobuf-sbt
etorreborre,s99
etorreborre,scalaz
etorreborre,scoobi
etorreborre,specs2
etorreborre,specs2-test
eugener,jqm.scala
evan,scala-finagle
evavro,ScalaDate
everpeace,akka
everpeace,fpinscala-exercises
everpeace,scaladingla
everpeace,scalamata
everpeace,scaldingla
evilcandybag,BolagetScraper
ewolff,scala-spring
excilys,gatling
excilys,gatling-highcharts
